text,true_labels,predicted_labels,false_positives,false_negatives,stress_prob,schlaf_prob,bewegung_prob,ernaehrung_prob
Ich habe die letzten Nächte kaum geschlafen und bin entsprechend angespannt.,"stress, schlaf","schlaf, bewegung",bewegung,stress,0.440500408411026,0.8268551826477051,0.6030651330947876,0.17455174028873444
Ich bin gerade ziemlich gestresst.,stress,,,stress,0.31860238313674927,0.213091641664505,0.19599533081054688,0.07880309969186783
"Nachts wache ich auf, tagsüber ist alles zu viel und Mahlzeiten fallen aus.","stress, schlaf, ernaehrung","stress, schlaf, bewegung, ernaehrung",bewegung,,0.7156018018722534,0.8062569499015808,0.6116257309913635,0.8774359822273254
Ich war heute sehr träge und kaum auf den Beinen.,bewegung,"schlaf, bewegung",schlaf,,0.4397099018096924,0.7172759771347046,0.6836850047111511,0.179893359541893
Heute war ein stressiger Tag und ich habe mich kaum bewegt.,"stress, bewegung","stress, schlaf, bewegung",schlaf,,0.5403530597686768,0.7064222097396851,0.7545107007026672,0.17697402834892273
"Ich schlafe zu wenig, bewege mich kaum und greife oft zu Süßem.","schlaf, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",stress,,0.7275380492210388,0.8295273184776306,0.7352573871612549,0.8007349371910095
Heute war stressig und ich saß fast den ganzen Tag nur herum.,"stress, bewegung","stress, schlaf, bewegung",schlaf,,0.5771974325180054,0.6305378675460815,0.6585192680358887,0.17463937401771545
Ich bin seit Tagen müde und gleichzeitig total gestresst.,"stress, schlaf","stress, schlaf, bewegung",bewegung,,0.575435221195221,0.7494015693664551,0.6499606966972351,0.1412300169467926
"Ich bin müde, gereizt und habe heute kaum etwas Vernünftiges gegessen.","stress, schlaf, ernaehrung","schlaf, bewegung, ernaehrung",bewegung,stress,0.48649218678474426,0.6494054198265076,0.5752909183502197,0.9103590250015259
Mich stresst die Arbeit im Moment sehr.,stress,,,stress,0.4157331883907318,0.1671585887670517,0.28988713026046753,0.10645154863595963
"Ich habe viel im Kopf, bewege mich wenig und esse oft nur irgendwas.","stress, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",schlaf,,0.6393062472343445,0.5326219201087952,0.6893777251243591,0.9268591403961182
"Ich bin müde, weil ich kaum geschlafen habe, und dazu noch gestresst.","stress, schlaf","stress, schlaf, bewegung",bewegung,,0.7041003704071045,0.8899399042129517,0.7940309047698975,0.27318865060806274
Ich schiebe Sport gerade ständig auf.,bewegung,,,bewegung,0.38039833307266235,0.18280868232250214,0.33033716678619385,0.1255926787853241
Mein Schlaf ist kaputt und ich komme kaum noch raus.,"schlaf, bewegung",schlaf,,bewegung,0.3826391100883484,0.7499854564666748,0.42798128724098206,0.1240236759185791
Mein Alltag ist aktuell ziemlich hektisch.,stress,,,stress,0.3531298041343689,0.16107596457004547,0.2892431616783142,0.11712860316038132
"Ich schlafe schlecht, bewege mich wenig und esse oft nur irgendwas.","schlaf, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",stress,,0.7366377115249634,0.8287439942359924,0.7462681531906128,0.8703258633613586
"Ich fühle mich unter Druck, bin körperlich träge und esse viel zu chaotisch.","stress, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",schlaf,,0.7587687969207764,0.6482841968536377,0.6989130973815918,0.9207148551940918
Auf der Arbeit ist aktuell sehr viel los.,stress,,,stress,0.4292955994606018,0.16348126530647278,0.27402132749557495,0.11144816875457764
Ich mache im Moment kaum Sport.,bewegung,,,bewegung,0.32391828298568726,0.1557726263999939,0.3821244239807129,0.17511799931526184
Ich wache nachts oft auf und tagsüber ist mir alles zu viel.,"stress, schlaf","stress, schlaf, bewegung",bewegung,,0.5388749837875366,0.8432368636131287,0.7065181136131287,0.22453555464744568
Ich bin gerade sehr gestresst und bewege mich viel zu wenig.,"stress, bewegung","stress, schlaf, bewegung",schlaf,,0.7000077962875366,0.6498044729232788,0.837927520275116,0.28092044591903687
Ich habe heute kaum Schritte gesammelt.,bewegung,,,bewegung,0.3580714166164398,0.18275344371795654,0.4149097800254822,0.10834623128175735
Mein Alltag ist gerade hektisch und Bewegung kommt total zu kurz.,"stress, bewegung","stress, schlaf, bewegung",schlaf,,0.695748507976532,0.5160765051841736,0.7826898694038391,0.24683591723442078
Heute war stressig und ich habe kaum etwas Richtiges gegessen.,"stress, ernaehrung",ernaehrung,,stress,0.4023474156856537,0.2965560853481293,0.4017546772956848,0.9239987730979919
"Ich habe viel Stress, mich kaum bewegt und wieder nur Fast Food gegessen.","stress, bewegung, ernaehrung","stress, schlaf, bewegung, ernaehrung",schlaf,,0.5896027088165283,0.5018830895423889,0.6743392944335938,0.9276296496391296
